from,to,weigh,year
US3720213A,US4473074A,1,1981
US3659613A,US3720213A,1,1971
US3642007A,US3720213A,1,1971
US3828788A,US4473074A,1,1981
US3703176A,US3828788A,1,1972
US3653384A,US3828788A,1,1972
US3720213A,US3828788A,1,1972
US3913582A,US4473074A,1,1981
US3703176A,US3913582A,1,1972
US3720213A,US3913582A,1,1972
US3910276A,US4473074A,1,1981
US3659613A,US3910276A,1,1969
US3821510A,US3910276A,1,1969
US4123143A,US4473074A,1,1981
US3769963A,US4123143A,1,1975
US3703176A,US3769963A,1,1972
US3828788A,US4123143A,1,1975
US3913582A,US4123143A,1,1975
US4270845A,US4473074A,1,1981
US3696230A,US4270845A,1,1976
US3826998A,US4270845A,1,1976
US3720213A,US4270845A,1,1976
US3828788A,US4270845A,1,1976
US3913582A,US4270845A,1,1976
US4069823A,US4473074A,1,1981
US3703176A,US4069823A,1,1976
US3720213A,US4069823A,1,1976
US3796220A,US4069823A,1,1976
US3642007A,US3796220A,1,1972
US3703176A,US3796220A,1,1972
US3769963A,US4069823A,1,1976
US3914013A,US4069823A,1,1976
US3659613A,US3914013A,1,1974
US3669524A,US3914013A,1,1974
US3642007A,US3914013A,1,1974
US3638312A,US3914013A,1,1974
US3703176A,US3914013A,1,1974
US3710091A,US3914013A,1,1974
US3803379A,US3914013A,1,1974
US3710798A,US3914013A,1,1974
US3642007A,US3710798A,1,1971
US3782823A,US3914013A,1,1974
US3910276A,US4069823A,1,1976
US4057332A,US4473074A,1,1981
US3696230A,US4057332A,1,1976
US3977251A,US4057332A,1,1976
US3556038A,US3977251A,1,1973
US4174154A,US4473074A,1,1981
US4144888A,US4473074A,1,1981
US3653384A,US4144888A,1,1976
US3828788A,US4144888A,1,1976
US3913582A,US4144888A,1,1976
US3848104A,US4144888A,1,1976
US3743777A,US3848104A,1,1969
US3986767A,US4144888A,1,1976
US3619550A,US3986767A,1,1969
US3696230A,US3986767A,1,1969
US3781094A,US3986767A,1,1969
US3920951A,US4144888A,1,1976
US3716668A,US3920951A,1,1974
US3679818A,US3920951A,1,1974
US3739088A,US3920951A,1,1974
US3836709A,US3920951A,1,1974
US3615448A,US3836709A,1,1972
US4122853A,US4473074A,1,1981
US3693623A,US4122853A,1,1977
DE2309205A1,US4122853A,1,1977
US3892541A,US4122853A,1,1977
US3758296A,US3892541A,1,1970
DE2511248A1,US4122853A,1,1977
DE2827639A1,US4473074A,1,1981
DE3205915A1,US6167145A,1,1996
DE2443558A1,DE3205915A1,1,1982
EP0030355A2,DE3205915A1,1,1982
DE2115121A1,EP0030355A2,1,1979
DE2809645A1,EP0030355A2,1,1979
DE2115121A1,DE2809645A1,1,1971
EP0018166A1,EP0030355A2,1,1979
DE3205085A1,DE3205915A1,1,1982
US4457311A,US6167145A,1,1996
US4094306A,US4457311A,1,1982
US3752255A,US4094306A,1,1975
US3614891A,US3752255A,1,1969
US3973235A,US4094306A,1,1975
US3622825A,US3973235A,1,1973
US3936791A,US4094306A,1,1975
US3990296A,US4094306A,1,1975
US3711823A,US3990296A,1,1975
US3594717A,US3711823A,1,1970
US3745812A,US3990296A,1,1975
US3890829A,US3990296A,1,1975
US3745814A,US3890829A,1,1973
US4242912A,US4457311A,1,1982
US3919683A,US4242912A,1,1975
US3881164A,US4242912A,1,1975
US3936791A,US4242912A,1,1975
US3918024A,US4242912A,1,1975
US4019169A,US4242912A,1,1975
US3919683A,US4019169A,1,1974
US3936791A,US4019169A,1,1974
US4119938A,US4242912A,1,1975
US3911730A,US4119938A,1,1974
US4163394A,US4242912A,1,1975
US3938371A,US4163394A,1,1975
US3612920A,US3938371A,1,1972
US3573515A,US3612920A,1,1970
US3798961A,US3938371A,1,1972
US3616684A,US3798961A,1,1971
US3990300A,US4163394A,1,1975
US3741004A,US3990300A,1,1974
US3895685A,US3990300A,1,1974
US3802253A,US3990300A,1,1974
US4005382A,US4242912A,1,1975
US4253338A,US4457311A,1,1982
US3805596A,US4253338A,1,1976
US3939696A,US4253338A,1,1976
US3778756A,US4253338A,1,1976
